Image_Metadata_Plate,Image_Metadata_Well,Image_FileName_OrigHoechst,Image_Count_Nuclei,Image_Metadata_GeneID,Image_Metadata_GeneSymbol,Image_Metadata_IsLandmark,Image_Metadata_AlleleDesc,Image_Metadata_ExpressionVector,Image_Metadata_FlaggedForToxicity,Image_Metadata_IE_Blast_noBlast,Image_Metadata_IntendedOrfMismatch,Image_Metadata_OpenOrClosed,Image_Metadata_RNAiVirusPlateName,Image_Metadata_Site,Image_Metadata_TimePoint_Hours,Image_Metadata_Type,Image_Metadata_Virus_Vol_ul,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_QCFlag_isBlurry,Image_Metadata_QCFlag_isSaturated
41744,m20,taoe005-u2os-72h-cp-a-au00044859_m20_s4_w1c390e8d4-352a-43fb-85ad-fd808cb1c87f.tif,45,7046,TGFBR1,0,WT.3,pLX304,,0.99,,open,ORA11.12.13.18A,4,72H,"ORF OE",1,Treated,0,0
41744,n21,taoe005-u2os-72h-cp-a-au00044859_n21_s3_w1cabe1eee-9388-4f47-aa9a-dde6b384a759.tif,34,3717,JAK2,0,V617F.mismatch,pLX304,,1.09,mismatch,closed,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,l23,taoe005-u2os-72h-cp-a-au00044859_l23_s3_w110c9c659-4b59-4ad0-ab45-d9c49a640018.tif,35,81892,SLIRP,0,WT.2,pLX304,,0.94,,open,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,k03,taoe005-u2os-72h-cp-a-au00044859_k03_s6_w114b147aa-fd90-4feb-a628-509515e24ecd.tif,63,56616,DIABLO,0,WT,pLX304,,1.27,,open,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,m11,taoe005-u2os-72h-cp-a-au00044859_m11_s5_w161cab7b2-cf48-4cbb-9603-c34b96a99c84.tif,62,,EMPTY,,,,,0.1,,,ORA11.12.13.18A,5,72H,"ORF OE",1,Untreated,0,1
41744,k22,taoe005-u2os-72h-cp-a-au00044859_k22_s9_w1f8792762-ea9c-4a10-8cfd-3495db1cc464.tif,36,7494,XBP1,1,WT.2,pLX304,,1.03,,closed,ORA11.12.13.18A,9,72H,"ORF OE",1,Treated,0,1
41744,m08,taoe005-u2os-72h-cp-a-au00044859_m08_s2_w1d4b38462-0cce-4875-98ba-443594d67ae4.tif,70,1147,CHUK,0,WT.1.mismatch,pLX304,,0.94,mismatch,closed,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,l06,taoe005-u2os-72h-cp-a-au00044859_l06_s7_w18185197c-9e1f-4783-b079-5259e00085c3.tif,138,5569,PKIA,0,WT,pLX304,,1.18,,closed,ORA11.12.13.18A,7,72H,"ORF OE",1,Treated,0,0
41744,m17,taoe005-u2os-72h-cp-a-au00044859_m17_s6_w161ed6bb6-c471-4abc-8389-5ead3999bae8.tif,17,5879,RAC1,0,WT.2,pLX304,,1.09,,open,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,n16,taoe005-u2os-72h-cp-a-au00044859_n16_s8_w10b262bf2-9ede-40e1-a4cc-9f2c4e40cf4a.tif,34,-43,Luciferase,0,CTRL,pLX304,,0.95,,open,ORA11.12.13.18A,8,72H,"ORF OE",1,CTRL,0,0
41744,l19,taoe005-u2os-72h-cp-a-au00044859_l19_s5_w158b64e4d-4967-4225-9b8f-f566082e4d9c.tif,69,4851,NOTCH1,1,WT.2,pLX304,,1.06,,closed,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,m19,taoe005-u2os-72h-cp-a-au00044859_m19_s3_w12881d655-1195-4c6f-bf17-7eee56f0cd0d.tif,36,5894,RAF1,0,WT.2,pLX304,,0.95,,open,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
